Company Name,Industry,English Required ,Bilingual/ Spanish speaking ,Location,Typical Shift,Weekend Shifts,Notes
Advocate Christ Medical Center,Medical,Intermediate,FALSE,"4440 W 95th St, Oak Lawn, IL 60453 ; 3815 Highland Ave, Downers Grove, IL 60515 ; 836 W Wellington Ave, Chicago, IL 60657; 1775 Dempster St, Park Ridge, IL 60068","Morning, Afternoon, Night",TRUE,"Rachael Fecht is POC; 3 positions available: CNA, Housekeeping, Food and Nutrition. Apply online for a position, include resume. Email Rachael to inform her of application. Personal assessment required. HR interview guaranteed if personal assessment is passed. Pay starts at $14, increases with experience level."
Amazon,Warehouse,Intermediate,FALSE,"1500 S Laramie Ave., Cicero, IL 60804","Morning, Afternoon, Night",TRUE,Need enough english to nevigate the warehouse. Check https://www.amazon.jobs/en/ for current available jobs. Create account and apply for client. Various locations 
Aramark ,Janitorial & Food Service ,Intermediate,FALSE,6439 N Sheridan Rd.,"Morning, Afternoon, Night",TRUE,"Submit paper application via email to Kamila Baczek, they will contact client directly for phone itnerview. Requires conversational English."
ASI,Home Health Care,Intermediate,TRUE,"2619 W Armitage Ave, Chicago, IL 60647","Morning, Afternoon, Night",TRUE,Place employees in client homes all over Chicago. Home care company. Place employees with clients in various locations around Chicago. P/T or F/T. Benefits available. Reibursment for gas or public transit cost between clients. More details here- https://www.asiservices.org/
Away Staffing,Staffing agency,Basic,TRUE,"3940 W Irving Park Road Chicago, IL 60618","Morning, Afternoon, Night",TRUE,Staff for various companies all over chicagoland. Staffing agency for entry level jobs (manufacturing and such) but also more advanced jobs such as CNC positions. Staff for companies all over Chicagoland. Clients can reach out to them directly or email their resume in at jobs@awaystaffing.com. We can also reach out to them on the clients behalf. Varying language levels. Most positions at 90 day temp to hire positions. Depending on the hiring prosses of the company clients can begin working in 1-2 weeks
Cenveo,Manafacturing,Intermediate,FALSE,"3001 N Rockwell, Chicago, IL 60618","Morning, Afternoon, Night",FALSE,"Ingred Romero is contact: ingrid.romero@cenveo.com. The onboarding process involves creating an online account at cenveo.com and then applying. Send resume to Ingrid and schedule an interview.  then responding online to an offer letter, drug test scheduling, I-9 form, and filling out the tax credit survey. All online. Typically takes 10-14 days. Make envolopes."
Chicago Meat Authority,Meat Packing/ Slaughter House,Basic,TRUE,"1120 W 47th Pl, Chicago, IL 60609","Morning, Afternoon, Night",TRUE,"Meat butchering and packing
Hiring done by Paramount Staffing- Lillian hires on site. Her number is (847)627-9510. 
Say you were referred by Kim Salinas; mention Chicago Meat specifically"
Double Tree Skokie,Hospitality,Basic,FALSE,"9599 Skokie Boulevard, SkokieIL 60077","Morning, Afternoon, Night",TRUE,Contact is Rosa Gallardo. Housekeeping positions aviable. Fill out online application and email Rosa to schedule interview. $13/hr to start more pot. with experience. Benefits avaiable after 90 days.
Eli's Cheesecake,Food Manafacturing ,Basic ,FALSE,"6701 W Forest Preserve Dr, Chicago, IL 60634","Morning, Afternoon, Night",TRUE,"Juana Rivera is HR manager. jrivera@elicheesecake.com. Cheesecake factory. Good option for limited English speaking clients. Public transportion can be an issue because bus hours vary.  Benefits after 3 months. $14-$15/hr. Email Juana for openings, send her the clients resume, and then schedule an interview through her."
Federal Mogul,Manufacturing ,Intermediate,FALSE,"7450 McCormick Blvd, Skokie, IL 60076","Morning, Afternoon, Night",FALSE,"Contact is Myra or Liz [mlema@staffmanagement.com or (847)568-220]. Hiring is through Staff Management there at Federal Mogul. Machine opperator, packing, CNC, and other manafacturing options. Pay is $14-16 for entry level positions. Benefits after 90 days. Apply online through the Staff Managment Website. After application client will be prompted to schedule a phone interview. If client passes they will be invited to attend orientation at Fed Mog and complete a drug test before begining. If process is lagging it is okay to call Mayra/Liz to  for a check-up."
Georgia Nut Company,Food Manafacturing ,Intermediate,FALSE,"7500 N linder Ave, Skokie, IL 60077","Morning, Afternoon, Night",TRUE,Factory packing nuts and candies. Go in person on a Tuesday or Thursday to apply and take math and English test. 
Gibsons,Food Service ,Basic,FALSE,"1028 N Rush St., Chicago, IL 60611","Afternoon, Night",TRUE,Usually dishwashing postions available. Fill out online application and contact Nancy Bueno to review application and schedule interview
